WKT,id,sname
POINT (17.0980499847004 47.9374499849973),1,Hegyeshalom Rail
POINT (17.0980499847004 47.9374499849973),1,Hegyeshalom Rail
POINT (17.0978999951672 47.9375099877917),2,Nickelsdorf Rail
POINT (17.0978999951672 47.9375099877917),2,Nickelsdorf Rail
POINT (17.1791899938527 48.0135199849094),3,Rajka Rail
POINT (17.1791200080454 48.0136199895667),4,Rusovce Rail
POINT (16.9498000089712 48.2418000053586),5,Devinska Nova Ves Rail
POINT (16.9498000089712 48.2418000053586),5,Devinska Nova Ves Rail
POINT (16.9468000088737 48.242099984425),6,Marchegg Rail
POINT (16.9468000088737 48.242099984425),6,Marchegg Rail
POINT (13.4516599935034 48.5632299834573),7,Wernstein am Inn Rail
POINT (13.4516599935034 48.5632299834573),7,Wernstein am Inn Rail
POINT (13.4517999922373 48.563329982553),8,Passau Rail
POINT (13.4517999922373 48.563329982553),8,Passau Rail
POINT (14.4337000040051 48.5926000074494),9,Summerau Rail
POINT (14.4337000040051 48.5926000074494),9,Summerau Rail
POINT (14.4332999853758 48.5928999865157),10,Horni Dvoriste Rail
POINT (14.4332999853758 48.5928999865157),10,Horni Dvoriste Rail
POINT (17.0028299830026 48.7104000136042),11,Brodské Rail
POINT (17.0008099936413 48.7114500101478),12,Lanzhot Rail
POINT (16.8687000016818 48.711900013653),13,Bernhardsthal Rail
POINT (16.8687000016818 48.711900013653),13,Bernhardsthal Rail
POINT (16.8685999970245 48.7121999927193),14,Bori les Rail
POINT (16.8685999970245 48.7121999927193),14,Bori les Rail
POINT (14.9686999981191 48.7650000083973),15,Gmünd Rail
POINT (14.9686999981191 48.7650000083973),15,Gmünd Rail
POINT (14.9680000061853 48.7651000122314),16,Ceske Velenice Rail
POINT (14.9680000061853 48.7651000122314),16,Ceske Velenice Rail
POINT (16.014500011158 48.7734999854031),17,Retzbach Rail
POINT (16.014500011158 48.7734999854031),17,Retzbach Rail
POINT (16.0152999934812 48.77369998971),18,Satov Rail
POINT (16.0152999934812 48.77369998971),18,Satov Rail
POINT (17.518580005579 48.812430000863),19,Vrbovce Rail
POINT (17.1280800045253 48.8346699894851),20,Holíc nad Moravou Rail
POINT (17.1272899851852 48.8356599832342),21,Hodonín zastavka Rail
POINT (17.2362299975678 48.8655200125944),22,Skalica na Slovensku Rail
POINT (17.2363299906834 48.8656200057099),23,Sudomerice nad Moravou Rail
POINT (18.0538200108706 49.0311600128572),24,Horné Srnie Rail
POINT (13.2093299993587 49.1216299853127),25,Bayerisch Eisenstein Rail
POINT (13.2093299993587 49.1216299853127),25,Bayerisch Eisenstein Rail
POINT (13.209430004016 49.1216800050942),26,Zelezna Ruda Rail
POINT (13.209430004016 49.1216800050942),26,Zelezna Ruda Rail
POINT (18.1320900085271 49.1796000148882),27,Strelna Rail
POINT (18.1323000008547 49.1796000148882),28,Strelenka Rail
POINT (12.8793099877041 49.3328700149818),29,Furth Rail
POINT (12.8793099877041 49.3328700149818),29,Furth Rail
POINT (12.8792600067273 49.332999993444),30,Ceska Kubice Rail
POINT (12.8792600067273 49.332999993444),30,Ceska Kubice Rail
POINT (18.3210100109426 49.9161400057774),31,Bohumin Rail
POINT (18.3209000106572 49.9161699836471),32,Chalupki Rail
POINT (12.2538100022847 50.0868799992249),33,Schirnding Rail
POINT (12.2538100022847 50.0868799992249),33,Schirnding Rail
POINT (16.6922900059558 50.098790012876),34,Lichkov Rail
POINT (17.6967399955443 50.1166199880906),35,Krnov Rail
POINT (12.3270899944269 50.2136000019463),36,Bad Brambach Rail
POINT (12.3270899944269 50.2136000019463),36,Bad Brambach Rail
POINT (12.3273399886174 50.2136600047407),37,Plesna Rail
POINT (12.3273399886174 50.2136600047407),37,Plesna Rail
POINT (17.5007200115144 50.2748300088227),38,Jindrichov ve Slezsku Rail
POINT (17.3540199858041 50.3077300052377),39,Glucholazy Zdroj Rail
POINT (17.353860013258 50.3077399882506),40,Mikulovice Rail
POINT (12.7345699834663 50.4323300139405),41,Potucky Rail
POINT (12.7345699834663 50.4323300139405),41,Potucky Rail
POINT (12.7344300127354 50.4324100171613),42,Johanngeorgenstadt Rail
POINT (12.7344300127354 50.4324100171613),42,Johanngeorgenstadt Rail
POINT (13.0317500015003 50.5048999904684),43,Vejprty Rail
POINT (13.0317500015003 50.5048999904684),43,Vejprty Rail
POINT (16.2201999922446 50.6366000156913),44,Mezimesti Rail
POINT (16.2192999852342 50.6367999901003),45,Mieroszow Rail
POINT (15.9845000101832 50.6854999893558),46,Kralovec Rail
POINT (15.9849999985643 50.6860999823941),47,Lubawka Rail
POINT (15.4003999981845 50.7783999877204),48,Harrachov Rail
POINT (15.400299994089 50.779199985579),49,Szklarska Poreba Gorna Rail
POINT (14.2222800008585 50.8594199912839),50,Dolni Zleb Rail
POINT (14.2222800008585 50.8594199912839),50,Dolni Zleb Rail
POINT (14.222369978862 50.8595300031796),51,Bad Schandau Rail
POINT (14.222369978862 50.8595300031796),51,Bad Schandau Rail
POINT (14.840200017214 50.8689999836832),52,Hradek nad Nisou Rail
POINT (14.8400000078993 50.8694000023126),53,Turoszow Rail
POINT (14.8291999935861 50.8923700074803),54,Turoszow Rail
POINT (14.8291999935861 50.8923700074803),54,Turoszow Rail
POINT (14.8288299938068 50.8925599988764),55,Zittau Rail
POINT (14.8288299938068 50.8925599988764),55,Zittau Rail
POINT (14.6443800075931 50.9026000126995),56,Großschönau Rail
POINT (14.6443800075931 50.9026000126995),56,Großschönau Rail
POINT (14.6038800062771 50.9211800053913),57,Varnsdorf Rail
POINT (14.6038800062771 50.9211800053913),57,Varnsdorf Rail
POINT (14.6038699892207 50.9213000006531),58,Seifhennersdorf Rail
POINT (14.6038699892207 50.9213000006531),58,Seifhennersdorf Rail
POINT (14.8938600031338 50.9483600146519),59,Hirschfelde Rail
POINT (14.8938600031338 50.9483600146519),59,Hirschfelde Rail
POINT (14.8940299825535 50.9486699914952),60,Turoszow Rail
POINT (14.8940299825535 50.9486699914952),60,Turoszow Rail
POINT (15.2907999899691 50.9552999888145),61,Mirsk Rail
POINT (15.289199985263 50.9554999981292),62,Jindrichovice pod Smrkem Rail
POINT (14.2802699964598 50.9801900135918),63,Sebnitz Rail
POINT (14.2802699964598 50.9801900135918),63,Sebnitz Rail
POINT (14.2803500001857 50.9802899833435),64,Dolni Poustevna Rail
POINT (14.2803500001857 50.9802899833435),64,Dolni Poustevna Rail
POINT (14.5798299857158 50.9972799892478),65,Jirikov Rail
POINT (14.5798299857158 50.9972799892478),65,Jirikov Rail
POINT (15.0383999980569 51.0121000162576),66,Cernousy Rail
POINT (15.0385000027142 51.0121999860093),67,Zawidow Rail
POINT (14.9560200009649 51.0466199834045),68,Reczyn Rail
POINT (14.9560200009649 51.0466199834045),68,Reczyn Rail
POINT (14.9560299839778 51.0467999917877),69,Hagenwerder Rail
POINT (14.9560299839778 51.0467999917877),69,Hagenwerder Rail
POINT (14.9906800095377 51.142879998633),70,Zgorzelec Rail
POINT (14.9906800095377 51.142879998633),70,Zgorzelec Rail
POINT (14.9902199966298 51.1430499859508),71,Görlitz Rail
POINT (14.9902199966298 51.1430499859508),71,Görlitz Rail
POINT (15.0316900171533 51.2861099849035),72,Horka Rail
POINT (15.0316900171533 51.2861099849035),72,Horka Rail
POINT (15.0327400123701 51.2861699876221),73,Wegliniec Rail
POINT (15.0327400123701 51.2861699876221),73,Wegliniec Rail
POINT (12.9893700173433 47.8314900066863),74,Salzburg Rail
POINT (12.9893700173433 47.8314900066863),74,Salzburg Rail
POINT (12.9884600045819 47.8320999745819),75,Freilassing Rail
POINT (12.9884600045819 47.8320999745819),75,Freilassing Rail
POINT (13.0386399907871 48.2618900160177),76,Braunau am Inn Rail
POINT (13.0386399907871 48.2618900160177),76,Braunau am Inn Rail
POINT (13.0373100192538 48.2627400012365),77,Simbach Rail
POINT (13.0373100192538 48.2627400012365),77,Simbach Rail
POINT (17.1374999856026 47.7889000021079),78,Jánossomorja
POINT (17.1604000063686 47.8516999833586),79,Mosonszolnok
POINT (17.1556999993725 47.900200012875),80,
POINT (17.4248000098885 47.7554000007551),81,Lébény-Mosonszentmiklós
POINT (17.3418000108559 47.803300002308),82,Kimle
POINT (17.2668000076366 47.8493999856268),83,Mosonmagyaróvár
POINT (17.2569000003338 47.8559000091084),84,
POINT (17.1910999998854 47.8896000118267),85,Levél
POINT (17.1850000026516 47.8927000126313),86,
POINT (17.1619000088821 47.9050999967449),87,
POINT (17.1492000047935 47.9115999882963),88,Hegyeshalom
POINT (17.1286999984951 47.9217000019384),89,
POINT (17.1530999829987 47.9256000090462),90,
POINT (17.1690999951538 47.9354000116917),91,
POINT (17.2065999953022 47.9725999844931),92,Bezenye
POINT (17.1924000073405 47.9930999986741),93,Rajka
POINT (17.1750999953488 47.8978000058158),94,
POINT (17.1533999969707 47.9091000085101),95,
POINT (16.8845600073167 47.6881600157585),96,Pamhagen Rail
POINT (16.8845600073167 47.6881600157585),96,Pamhagen Rail
POINT (16.8153999976229 47.9547000030107),97,
POINT (16.9288000079957 47.7811000183678),98,Sankt Andrä am Zicksee
POINT (16.916999983732 47.8395000158189),99,Frauenkirchen
POINT (16.9500000013546 47.8734999816491),100,Mönchhof-Halbturn
POINT (16.9355000039761 47.8768000054482),101,Mönchhof Haltestelle
POINT (16.9060999773738 47.8914999995991),102,Gols
POINT (16.8637999839657 47.9271000051221),103,Weiden am See
POINT (16.8450000123029 47.9430999868342),104,Bad Neusiedl am See
POINT (16.0921000129832 47.7968999892305),105,Urschendorf
POINT (16.1114999984244 47.8099000075833),106,Winzendorf
POINT (16.1430999853535 47.8187999871197),107,Brunn an der Schneebergbahn
POINT (16.1678999998534 47.8260999825426),108,
POINT (14.6505999831286 47.7721000156936),109,
POINT (14.6416999874935 47.820000012596),110,
POINT (15.3064999881522 47.7810000113287),111,Mariazell
POINT (15.2951000157063 47.8066999865663),112,
POINT (13.7558000061389 47.7939999987763),113,Steinkogl
POINT (13.7721000171554 47.8053999997894),114,Ebensee
POINT (13.7736000128073 47.8118999976991),115,Ebensee Landungsplatz
POINT (13.7783999920199 47.8207000102917),116,
POINT (13.0206999929966 47.7937000094143),117,
POINT (13.0192999976052 47.8093000029401),118,
POINT (14.1758200012105 47.7991999863226),119,
POINT (14.1741300097656 47.8035400139228),120,
POINT (16.2330999996449 47.7998000142666),121,
POINT (16.2252000156775 47.7999999886757),122,
POINT (13.0716999986216 47.8009999924075),123,Salzburg Parsch
POINT (13.068599989899 47.8075999935767),124,
POINT (14.1740100041768 47.8038399929891),125,
POINT (14.1729200057703 47.8060500086521),126,
POINT (14.1596000137148 47.8070000005383),127,
POINT (14.1592999997428 47.8088999843108),128,
POINT (13.0240000070661 47.8074999889194),129,
POINT (13.028899990936 47.807699998234),130,
POINT (13.0314000026524 47.8081000168634),131,
POINT (13.0347000167219 47.8081999866151),132,
POINT (13.0393999912772 47.8087000099017),133,
POINT (13.0414000146126 47.8087000099017),134,
POINT (13.0431999937277 47.8097999913211),135,
POINT (15.2981999855555 47.8088000145591),136,
POINT (15.2994000101555 47.8127000072629),137,Mitterbach
POINT (15.3011000159013 47.8191000055856),138,
POINT (14.1598999927812 47.812899996076),139,
POINT (14.155399992635 47.8199000079386),140,
POINT (16.5091000086133 47.8088999843108),141,Wulkaprodersdorf Haltestelle
POINT (16.5211000090032 47.8171000171558),142,
POINT (16.2144000013643 47.8089999889681),143,
POINT (16.1969999938178 47.8156999868588),144,
POINT (13.0676999828886 47.8090999936254),145,
POINT (13.0668000107839 47.8104999890169),146,
POINT (13.0119000020188 47.814800014754),147,
POINT (13.0444000147101 47.8108000029889),148,
POINT (13.0459999946921 47.8131000223599),149,Salzburg Hauptbahnhof
POINT (13.0502000055904 47.8201000172533),150,
POINT (13.0654999851442 47.8130000007333),151,
POINT (13.0630000079714 47.8173999970185),152,Salzburg Gnigl
